idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
3992,TELA ARTICULADA FIO 18 MALHA 15 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3994,TELA ARTICULADA FIO 18 MALHA 20 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3995,TELA ARTICULADA FIO 18 MALHA 25 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3996,TELA ARTICULADA FIO 18 MALHA 30 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3997,TELA ARTICULADA FIO 18 MALHA 40 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
4001,TELA ONDULADA FIO 10 MALHA 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
4002,TELA ONDULADA FIO 10 MALHA 23 *,F,9999,9999,76,GERAL,GERAL,P.E.
4003,TELA ONDULADA FIO 10 MALHA 25 *,F,9999,9999,76,GERAL,GERAL,P.E.
4004,TELA ONDULADA FIO 10 MALHA 30 *,F,9999,9999,76,GERAL,GERAL,P.E.
4005,TELA ONDULADA FIO 10 MALHA 32 *,F,9999,9999,76,GERAL,GERAL,P.E.
4006,TELA ONDULADA FIO 10 MALHA 40 *,F,9999,9999,76,GERAL,GERAL,P.E.
4007,TELA ONDULADA FIO 10 MALHA 50 *,F,9999,9999,76,GERAL,GERAL,P.E.
4008,TELA ONDULADA FIO 12 MALHA 13 *,F,9999,9999,76,GERAL,GERAL,P.E.
4009,TELA ONDULADA FIO 12 MALHA 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
4010,TELA ONDULADA FIO 12 MALHA 23 *,F,9999,9999,76,GERAL,GERAL,P.E.
4011,TELA ONDULADA FIO 12 MALHA 25 *,F,9999,9999,76,GERAL,GERAL,P.E.
4013,TELA ONDULADA FIO 12 MALHA 30 *,F,9999,9999,76,GERAL,GERAL,P.E.
4014,TELA ONDULADA FIO 12 MALHA 32 *,F,9999,9999,76,GERAL,GERAL,P.E.
