idsubproduto,descricaoproduto
2217,"CHAVE MANDRIL 3/8"" *"
396,CHAVE MANDRIL 5/8 S-3 *
11667,CHAVE P ESMERILHADEIRA MULT MEDIDAS BESTEFR
1575,CHAVE P/ VIRAR FERRO 1/4 SAO ROMAO
6106,CHAVE PHILIPS 3/16 X 6
412,CHAVE PHILLIPS 1/4 X 4 *
451,CHAVE PHILLIPS 3/16 X 4'' *
978,CHAVE TESTE ANALOGIA BESTFER
4532,CHAVE TESTE DIGITAL 12V 127 - 220 V *
5695,CHAVE VIRAR FERRO DUPLA 12M/14MM X 60CM - GUEPAR *
287,CHIBANCA C/ CABO *
1404,COLHER DE PEDREIRO CANTO RETO N. 7 *
1406,COLHER DE PEDREIRO N.10 *
11463,CONJUNTO PARA JARDIM 3 PEÇAS
11571,CONTATORA TRIPOLAR 220V GUEPAR 12 A
3660,CORTADOR DE PISO 50 CM *
4465,CORTADOR DE PISO E AZULEJO 75 CM
5594,CORTADOR DE PISO E PORCELANATO 90 CM
10808,CORTADOR DE TUBO PVC MAX 32MM - - BESTFER
3253,CORTADOR DE VIDRO C/ DIAMANTE C/ RESERV
1207,DESEMPENADEIRA ACO DENTADA 12 X 26 CM *
1206,"DESEMPENADEIRA ACO LISA 12 X 25,5 CM *"
4447,DESEMPENADEIRA DE MADEIRA *
10854,DISCO DIAM. CORTE TURBO (SECO OU REFRIGERADO) 110M - BESTFER
11669,"DISCO DIAMANTADO MULTICORTE 4,5"
10856,DISCO TURBO PORCELANATO ULTRAFINO - BESTFER
281,ELETRODO OK 22.45P E6010-3.25 X 350 MM
286,ENXADA 2.5 ESTREITA S/CABO 24CM **
3132,ENXADA 2.5 LARGA S/CABO 28CM *
467,ENXADAO 2 1/2 S/ CABO
10850,ESCOVA CONICA CIRCULAR TORCIDA 4'' - BESTFER
10846,ESCOVA DE ACO 4 FILEIRAS CB PLASTICO 10'' - BESTFER
10774,ESPATULA 120MM
496,ESPATULA CABO MADEIRA 10 CM PACETA 2054 *
498,ESPATULA CABO MADEIRA 8 CM *
10842,ESTILETE CB EMB 8LAMINAS 18MM - BESTFER
11585,ESTILETE EMBORRACHADO C/ 10 LAMINAS RANGER
417,ESTOPA MULTIUSO 200 GRAMAS
2255,FERRO DE SOLDA 30W 127V *
1924,FERRO DE SOLDA 40 127V FAME
10860,FITA ADESIVA SILVER TAPE 45MMX10M - - BESTFER
10858,FITA ADESIVA SILVER TAPE 45MMX5MM - BESTFER
11677,FOGAREIRO ELETRICO PRETO 127V 1 BOCA - BESTFER
11357,FOGAREIRO ELETRICO PRETO 127V 1 PRATO - BESTFER
11355,FOGAREIRO ELETRICO PRETO 127V 2 PRATOS - BESTFER
10884,FOGAREIRO PORTATIL ACENDIMENTO AUTOMATICO - BESTFER
575,FORMAO PACETA 1'' *
576,FORMAO PACETA 1/2 *
1925,GRAMPEADOR PROF USO LEVE *
184,GRAMPO DE FIXACAO C 2'' *
11375,GRAMPO DE FIXACAO F 6'' APERTO RAPIDO - BESTFER
622,GROSA CABINET 10 K & F *
11899,GUINCHO COLUNA ELETRICO 300/600KG 220V 60HZ
10798,"JOGO 4 MINI-ALICATES 4,5'' AC POLIDO - BESTFER"
11665,JOGO ABRIR ROSCA - TARRACHA- MACHO 20 PÇS BESTFER
10822,JOGO CH COMBINADA AC 8PCS (8-19) - BESTFER
10830,JOGO CH TIPO T SOQUETES E BITS 21 PCS - BESTFER
11255,JOGO CHAVE ALLEN 25PCS GUEPAR
5948,JOGO CHAVE ALLEN LONGA C/9PÇS
5949,JOGO CHAVE TORX C/9 LONGA
10170,JOGO DE CHAVE CANHAO C/ CATRACA
3936,JOGO DE CHAVE COMBINADA *
2112,JOGO DE CHAVE FIXA 6 A 17MM C/ 6 PCS
10820,JOGO DE CHAVE FIXA AC 8PCS - BESTFER
2086,JOGO DE CHAVE TORX CANIVETE
5950,"JOGO DE CHAVES DE FENDA E PHILLIPS POINT, CRV, CABO DOIS COM"
3194,JOGO DE PONTAS DE CHAVES PHILLIPS IRWIN 1865324
3293,JOGO DE PUNCAO ALFABETO 10 MM (A - Z) *
634,JOGO MACHO DE ABRIR ROSCA 8PCS BESTFER
10828,KIT BROCAS MISTAS 9PCS- BESTFER
10882,KIT CAB EXTENS. FLEX (P/ PARAFUSADEIRA) ENTENSOR+BIT - BESTF
11661,KIT CHAVE FENDA + PHILIPS ( 02 PÇS ) BESTFER
10880,"KIT CINTA E CATRACA P/AMAR DE CARGA 1.500KG 3,5CM X 9M - BES"
10878,KIT CINTA E CATRACA P/AMAR DE CARGA 1.500KG 5CM X 8M - B
10872,KIT CINTA E CATRACA P/AMAR DE CARGA 5.000KG 5CM X 9M - BESTF
10848,"KIT ESCOVA DE LIMPEZA (PRETA,PRATA,DOURADA) - BESTFER"
11189,KIT EXTRATOR PARAFUSOS 5PCS
3193,KIT PONTEIRAS PHILLIPS MAGNETICAS BESTFER
5911,LANTERNA 5LED REC.BIV.FOXL.PLUGNO *
653,LIMA CHATA BASTARDA 10''
654,LIMA CHATA BASTARDA 14*
657,"LIMA MEIA CANA BASTARDA 10"" STARFER *"
658,LIMA MEIA CANA BASTARDA 8'' *
663,LIMA REDONDA BASTARDA 10'' *
666,LIMA TRIANGULAR C/CABO 4'' *
669,LINHA NYLON P/PEDREIRO C/ 50M *
10862,LUVA MALHA TRICOTADA 4 FIOS C PIGMENTO PRETA G8 - BESTFER
11347,LUVA TRICO LATEX AZUL XG/9 BESTFER
3327,MACHADINHA C/ CABO
733,MANDRIL 3/8 COM CHAVE
2147,MANDRIL APERTO RÁPIDO 1/2'' 13MM ROSCA *
748,"MARRETA 0,5 KG C/ CABO *"
746,"MARRETA 2,0 KG C/ CABO LONGA"
752,MARTELO BOLA 300G - STANLEY
754,MARTELO BOLA 700G - STANLEY 54192 *
749,MARTELO DE BORRACHA 40MM *
5616,MARTELO DE LANTERNEIRO PENA ATRAVESSADA LISO *
4493,MARTELO DE UNHA 27MM CABO DE FIBRA *
11529,MINI DISJ BIP CURVA C 3KA GUEPAR 10A
11543,MINI DISJ TRIP CURVA C 3KA GUEPAR 10A
11557,MINI DISJ UNIP CURVA C 3KA GUEPAR 10A
2169,MINI TORNO BANCADA FIXO 50MM *
4484,MULTIMETRO DIGITAL
2254,PA BICO C/ CABO PLÁSTICO *
285,"PA QUADRADA 3"" C/ CABO PLAS.*"
1574,PE DE CABRA 3/4 X 50 CM *
1975,PICADEIRA DE SOLDA COM MOLA *
3672,PICARETA ALVIAO S/ CABO FORJADA *
11995,PISTOLA APLICADORA DE SELANTES BATERIA
10870,"PISTOLA DE AR DIRETO 1,3MM - BESTFER"
11149,PISTOLA DE COLA QUENTE 40W MD
10614,PONTEIRO 3/4 X 10 C/ EMPUNHADURA LARANJA
10083,PONTEIRO ACO CROMADO 1/2X 12'' *
2021,PONTEIRO ACO CROMADO 3/4 X 12'' *
1004,PONTEIRO REDONDO 10'' *
3512,PONTEIRO SDS 250MM
2286,PRUMO DE CENTRO 300GR *
633,PRUMO DE PAREDE 300GR *
1740,PRUMO DE PAREDE 500GR *
696,PRUMO DE PAREDE 700GR *
2017,PUNCAO DE CENTRO BELZER 100 X 4MM *
17,PUNCAO DE FURO JOCEC *
13,PUNCAO DE REBITAR JOCEC *
10800,"REBITADOR MANUAL 9,5''"
10802,REBITADOR MANUAL TIPO ALAVANCA 18''
1616,"REGUA LISA C/ 2,0 M P/ PEDREIRO *"
1013,RISCADOR DE ACRILICO E FORMICA EDUS *
1106,RISCADOR DE AZULEJO *
4721,RODEL CG - 40 MM P / CORTADOR DE PISO CORTAG *
3927,RODEL DE 80 MM CORTADOR DE PISO IRWIN( DUPLO) *
1876,SACA POLIA 3 GARRAS 150MM STARFER 6 *
123133657,SERROTE MADEIRA 20'' *
10840,SERROTE PARA DRYWALL 12'' - BESTFER
10826,SOQUETE CANHAO MAG LONGO 3/8 X 150MM
10824,SOQUETE CANHAO MAG LONGO 5/16 X 150MM -- BESTFER
5811,SOQUETE SEXTAVADO 1/2 15 MM *
10852,SUPORTE P/ DISCO DE LIXA C/VELCRO E ADAP 115MM/M14 - BESTFER
10832,SUPORTE P/ SERRA COPO 14MM-31MM - BESTFER
3382,SUPORTE PARA SERRA COPO STARRET A - 1 *
3381,SUPORTE PARA SERRA COPO STARRET A - 2 *
10598,"TALHA 0,5T CORRENTE 3M"
5996,"TALHA MANUAL 0,5T CORREN 5MT *"
5995,"TALHA MANUAL 1,0T CORREN 3MT"
1000,TALHADEIRA 12''
3513,TALHADEIRA 250 MM X 20 MM PLUS SDS *
10620,TALHADEIRA 3/4 X 10 C/ EMPUNHADURA LARANJA
10618,TALHADEIRA 3/4 X 12 C/ EMPUNHADURA LARANJA 8205.59.00
10085,TALHADEIRA ACO CROMADO 1/2X 12'' *
2022,TALHADEIRA ACO CROMADO 3/4 X 12'' *
999,"TALHADEIRA CHATA 10"" SAO ROMAO *"
4444,TALHADEIRA CHATA 6'' PACETA *
998,TALHADEIRA CHATA 8'' *
1402,"TARRACHA RAPIDA MEIKON 1"" *"
167,TESOURA CORTAR VERGALHAO 24 *
168,TESOURA CORTAR VERGALHAO 30 *
3365,TESOURA CORTAR VERGALHAO 36 *
169,TESOURA CORTAR VERGALHAO 42 *
10810,TESOURA DE AVIACAO CORTE RETO 10'' PROFISSIONAL - BESTFER
10812,TESOURA DE FUNILEIRO 10'' CORTE CHAPA - - BESTFER
3285,TESOURA DE PODA 8''
3644,TESOURA P/ CORTAR CHAPA AVIACAO *
1856,TESOURA P/ CORTAR CHAPA AVIACAO IRWIN 250MM COD 14075 *
2356,TESOURA P/ GRAMA *
5953,"TESOURA PARA CHAPA 10"" RETA CORTE RETO"
11655,TESOURA RETA P/ CORTAR METAIS 10 POL BESTFER
1698,TORNO DE BANCADA FIXO 3'' *
10346,TORNO DE BANCADA FIXO 5
11659,TORNO DE BANCADA FIXO 8 POL BESTFER
1700,TORNO DE BANCADA FIXO BASE GIRATORIA 50MM
994,"TORQUES  8"" *"
995,TORQUES 10'' *
10868,TRENA CAIXA PLASTICA 10MX25MM PONTA MAGNETICA - BESTFER
10864,TRENA CAIXA PLASTICA 3MX16MM - BESTFER
10866,TRENA CAIXA PLASTICA 5MX19MM - BESTFER
11671,TRENA TRANSPARENTE 3 MTS BESTFER
11673,TRENA TRANSPARENTE 5 MTS BESTFER
11675,TRENA TRANSPARENTE 8 MTS BESTFER
1960,MACHO WW AC 1/2 *
123133416,BORRACHA P/ NIVEL 3/8 X 1.5MM *
502,ESQUADRO CABO ALUMINIO 12 '' ( 305 MM ) *
2287,ESQUADRO CABO DE PVC 12'' ( 305 MM ) *
11351,"ESQUADRO COMBINADO 12"" BESTFER"
72,ESQUADRO MAGNETICO 12KG
11349,ESQUADRO MAGNETICO 22KG - BESTFER
11353,"ESQUADRO RAPIDO 7"" BESTFER"
500,ESQUADRO STANLEY PROFISSIONAL 12'' ( 305 MM ) *
2160,KIT LINHA MARCAÇÃO ( AZUL ) *
2162,KIT LINHA MARCAÇÃO 30 METROS ( VERMELHO ) *
1512,METRO ALUMINIO MAX 1 METROS *
3511,METRO BAMBU MADEIRA/NYLON CHAPEADO 2 METROS *
825,METRO MADEIRA BAMBU NATURAL 2 METROS *
5952,NIVEL A LASER COM PRUMO E MARKER
838,"NIVEL ALUMINIO 12"" 03 BOLHAS"
11907,NIVEL ALUMINIO IMANTADO 1M LARANJA - BESTFER
11901,NIVEL ALUMINIO MAGNETICO INDUSTRIAL 12'' AZUL- BESTFER
813,"NIVEL GP 12"" BASE C/ IMA STANLEY"
1491,NIVEL GP 14'' BASE C/ IMA 42-887 *
2159,REFIL DE GIZ AZUL *
2157,REFIL DE GIZ LARANJA FLUORESCENTE *
11501,SERRA DE MEIA ESQUADRIA 185MM 900W - 127V - TITANIUM
10534,TRENA A LASER 20MT PROFESSIONAL *
3531,"TRENA DE BOLSO STARRETT AMARELA 10M/10"" KTS 1 -10 NE-S*"
2188,"TRENA DE BOLSO STARRETT AMARELA 3M/10"" T12-3 *"
2187,"TRENA DE BOLSO STARRETT AMARELA 5M/16"" T34-5 *"
2268,"TRENA DE BOLSO STARRETT AMARELA 8M/26"" S9 T1-8 *"
10221,TRENA EMBORRACHADA 3M X 16MM RANGER
338,TRENA FIBRA 10 MT *
3943,TRENA IRWIN STANDARD 3 METROS *
3295,TRENA IRWIN STANDARD 5 METROS *
3296,TRENA IRWIN STANDARD 8 METROS *
11345,SERRA BESTFER C/18 DENTES C/ 12 PÇS
3712,SERRA CIRCULAR 4.3/8 X 72 DENTES *
10108,"SERRA CIRCULAR HSS P5,0 ( POLICORTE OITICICA )"
10110,"SERRA CIRCULAR HSS P7,0( POLICORTE OITICICA )"
170,SERRA CIRCULAR WD 4.3/8 X 24 DENTES *
3346,"SERRA CIRCULAR WD 7.1/4"" X 20 X 24 DENTES *"
1086,SERRA COPO BIMETAL  22MM - 7/8 *
302,SERRA COPO BIMETAL (DIV) 16MM - 5/8 *
724,SERRA COPO BIMETAL (DIV) 29MM - 1.1/8 *
1125,SERRA COPO BIMETAL STARRET 16MM - 5/8 *
1081,SERRA COPO BIMETAL STARRET 29MM - 1.1/8 *
5985,SERRA COPO DIAMANTADA 19MM X 150MM
5989,SERRA COPO DIAMANTADA 50/53MM X 150MM
960,SERRA MAQUINA RS 1210-5 *
959,SERRA MAQUINA RS 1214-5 *
961,SERRA MAQUINA RS 1410-5 *
958,SERRA MAQUINA RS 1414-5 *
1323,SERRA MAQUINA RS 2106-8 *
1074,SERRA STARRET C/18 DENTES VERMELHA *
1075,SERRA STARRET C/24 DENTES VERMELHA *
1076,SERRA STARRET C/32 DENTES VERMELHA *
5710,SERRA TICO TICO BS 324 BI-METAL *
5738,SERRA TICO TICO BU 036 MADEIRA BI METAL STARRET *
1948,SERRA TICO TICO BU 038 MADEIRA BI METAL STARRET *
1514,SERRA TICO TICO BU 214S BI METAL STARRET *
2055,SERRA TICO TICO BU 224-2 BI-METAL 50MM 24D *
1949,SERRA TICO TICO BU 224S BI METAL STARRET *
2054,SERRA TICO TICO BU 232 BI-METAL 50MM 32D *
1947,SERRA TICO TICO BU 418 BI METAL MULTI STARRET *
11969,KIT FERRAMENTAS PROFISSIONAIS 1
11975,KIT JARDIM 1
2026,CARVAO BLACK DECKER 0111 *
1914,CARVAO BLACK DECKER 017-C *
1650,CARVAO BLACK DECKER 0418 *
1649,CARVAO BLACK DECKER 0519 *
2027,CARVAO BLACK DECKER 211A *
3354,CARVAO BOSCH SERRA MARMORE GDC 1440 * ( 416 )
1910,CARVAO BOSH (350) 76523 *
1911,CARVAO BOSH (350-B) 76523 B *
1655,CARVAO BOSH (374) 11663 *
1648,CARVAO BOSH (380) 0665 *
1909,CARVAO BOSH (401) 1551-1 *
1908,CARVAO BOSH 02150 *
1913,CARVAO BOSH 0871 *
1696,CARVAO BOSH 10.722 *
1645,CARVAO BOSH 11760 * (322)
1644,CARVAO BOSH 87.060 *
1912,CARVAO DEWALT  (387)    * 607187 *
1907,CARVAO DEWALT (371) 670224 *
1915,CARVAO DEWALT (385) 615019 *
10542,CARVÃO ESMER BOSCH 3655 100 007
10546,CARVÃO ESMER MAKITA 3655 100 010
3287,CARVAO FERRARI SERRA MARMORE 407 *
10536,CARVÃO FURAD BOSCH 3655 100 003
10548,CARVÃO FURAD MAKITA 3655 100 011
10538,CARVÃO LIXAD MAKITA 3655 100 004
460,CARVAO MAKITA (373) 0112 *
1653,CARVAO MAKITA (406) NH 4.100 *
1651,CARVAO MAKITA 0212A ( 338 ) *
1916,CARVAO MAKITA 0412-C *
4516,CARVAO MAKITA 366 - B LIXADEIRA *
1654,CARVAO MAKITA HP 1.500 *
6107,CARVAO P/ SERRA MARMORE BOSCH 1551.3 ( 417)
10540,CARVÃO SERRA MAR MAKITA 3655 100 005
10550,CARVÃO SERRA MARM BOSCH 3655 100 013
10552,CARVÃO SERRA MARM BOSCH 3655 100 019 (1551.1)
10554,CARVÃO SERRA MARM BOSCH 3655 100 020 (1551.1/4)
10556,CARVÃO SERRA MARM BOSCH 3655 100 021 (1548)
10558,CARVÃO SERRA MARM MAK 655 100 023
4562,CORDA DE SEDA COLORIDA 10 MM *
11019,CORDA MULTICOLOR 10MM
2035,"CORRENTE GALVANIZADA 3,50 MM *"
1613,CORRENTE PLASTICA AMARELA / PRETA SACO COM 25 MTS
2282,"ADAPTADOR P/ DISCO BORRACHA 4.1/2"" KIT M-5 *"
2281,"ADAPTADOR P/ DISCO BORRACHA 7"" KIT M-6 *"
3951,ADAPTADOR SDS - PLUS P / MANDRIL *
410,ALAVANCA C/ CAVALETE *
411,ALAVANCA SIMPLES *
3182,BALDE P/CONCRETO DE CHAPA 10 LITROS *
123133395,BALDE PVC P/CONCRETO PRETO/CINZA
5832,BATERIA DE LITIUM 3V CARTELA COM 2 UNIDADES (B) *
5920,BICO MISTURADOR PARA CHUMBADOR QUIMICO *
4967,"BOCAL DE CERAMICA GR5 D 9,5 X 47 MM *"
4890,"BOCAL DE CERAMICA GR6 D 9,5 X 47 MM *"
4889,"BOCAL DE CERAMICA GR7 D 11,0 X 47 MM *"
10223,BOLSA C/ BASE BORRACHA G2 GUEPAR
10225,BOLSA C/ CABO TUBULAR G3 GUEPAR
10227,BOLSA EM POLIESTER G0 GUEPAR
1727,BONE DE PELE POLIMENTO 5 *
1728,BONE DE PELE POLIMENTO 8
2672,"CABO DE ENXADA 1,5 *"
1577,CABO DE MADEIRA PARA MARTELO 35 CM *
292,CABO DE MADEIRA PARA PICARETA *
1572,CABO DE PA METALICO
123133453,CABO DE PLASTICO PARA LIMA N.3 *
3911,"CABO RETO 1,20 *"
10231,CAIXA DE FERRAMENTA 3 GAVETAS WORK
10233,CAIXA DE FERRAMENTA 5 GAVETAS WORK
5810,CAIXA DE FERRAMENTAS VONDER - VD-4038
5979,CAIXA PARA BROCAS DE FURADEIRA - 18X10X6 *
10728,CAIXA PARA BROCAS DE FURADEIRA B061
10249,CAIXA PARA FERRAMENTAS  BAU
10245,CAIXA PARA FERRAMENTAS 1 GAVETA
10520,CAIXA PARA FERRAMENTAS 1GV B009
10247,CAIXA PARA FERRAMENTAS 2 GAVETAS
10522,CAIXA PARA FERRAMENTAS 2GV B011
10518,CAIXA PARA FERRAMENTAS ALTA B025
10516,CAIXA PARA FERRAMENTAS B013
10526,CAIXA PARA FERRAMENTAS BAUZINHO B068
10528,CAIXA PARA FERRAMENTAS BAUZINHO B070
10524,CAIXA PARA FERRAMENTAS COM ALÇA E RODAS B015
5977,CAIXA PARA FERRAMENTAS E FURADEIRA - 30X30X18 *
5976,"CAIXA PARA FERRAMENTAS,FURADEIRA E LIXADEIRA - 50X30X18 *"
5973,CAIXA PARA FURADEIRA - 30X30X8 *
5978,CAIXA PARA SERRA MARMORE - 25X25X20 *
5765,"CAMARA DE AR 3,25 X 8 *"
4853,CANECO PLASTICO DE PISTOLA PINTURA PDV 90 *
3307,CANTONEIRA DE ALUMINIO 15 X 15 BRANCA *
11221,CANTONEIRA DE ALUMINIO 20X15 BRANCA - OURO DE MINAS E034
11215,CANTONEIRA DE ALUMINIO 20X15 OURO - OURO DE MINAS E031.O
11209,CANTONEIRA DE ALUMINIO 20X15 PRETA - OURO DE MINAS E031
11223,CANTONEIRA DE ALUMINIO 25X20 BRANCA - OURO DE MINAS E035
11217,CANTONEIRA DE ALUMINIO 25X20 OURO - OURO DE MINAS E032.O
11211,CANTONEIRA DE ALUMINIO 25X20 PRETA - OURO DE MINAS E032
11227,CANTONEIRA DE ALUMINIO 30X25 BRANCA - OURO DE MINAS E036
11219,CANTONEIRA DE ALUMINIO 30X25 OURO - OURO DE MINAS E033.0
11213,CANTONEIRA DE ALUMINIO 30X25 PRETA - OURO DE MINAS E033
3589,CANTONEIRA MAO FRANCESA 20 CM BRANCO *
1587,CANTONEIRA MAO FRANCESA PESADA 20CM
5596,CANTONEIRA MAO FRANCESA TORCIDA 20 CM BRANCO
33,CANTONEIRA P/CORTINA 5 X 7 *
1397,CANTONEIRA P/PRATELEIRA 10 X 12 *
123133456,CASTANHA FERRO NATURAL *
1637,CHAVE MANDRIL 1/2 13 MM *
4743,"CINTA AMARRAR CARGA 3,0 TON COM CATRACA 300 ( 10 METROS ) *"
4742,"CINTA AMARRAR CARGA CG 3525/2000 KGF 5,00M"
4099,"CINTA DE POLIESTER COM GANCHO 4,6M X 28MM WORKER CAPACIDADE"
3953,CUNHA DE MADEIRA
3279,DISCO BORRACHA 4 1/2
1266,"DISCO BORRACHA 7"" LIXADEIRA M 10 *"
5966,EIXO PARA CARRINHO
1793,"ELASTICO P/ BAGAGEM 1,50 METRO"
5968,ESPACADORES DE EIXO PARA CARRINHO
1660,ESTILETE DE PLASTICO 18 MM
5774,ESTILETE GUEPPAR 18MM
1461,EXTENSAO ELETRICA 10 METROS 3 VIAS (PADRAO NOVO)
1435,EXTENSAO ELETRICA 3 METROS 3 VIAS (PADRAO NOVO)
1781,FINCAPINO ANCORA C-22 LONGO *
5922,FINCAPINO ANCORA MAGAZINADO AMARELO 27 *
1136,FINCAPINO C-22 CURTO *
1547,"FITA DE ACO PERFURADA 19 X 0,5 X 10 *"
3366,FITA P/ EMBAL INCOLOR 45 X 45 *
3367,FITA P/ EMBAL MARROM 48 X 45 *
3257,FITA ZEBRADA AMARELA/PRETA 200 MT *
1328,GRAFITEX EMAVI EM PO 25G *
5708,GRAMPO DISMA P/ GRAMP.DE TAPECEIRO 6MM *C/ 1000PÇS *
152,GRAMPO GRAMPEADOR 8 MM C/ 1000 PCS *
609,GRAMPO P/ CERCA 1 X 9 PCT 1KG
3236,GRAMPO P/ CERCA 7/8 X 9'' PCT 1KG
10608,KIT CHAVE SOQUETE 12 PÇ
6099,KIT DE BROCAS E BITS VLINE C/ 41 UNIDADES
10610,KIT FERRAMENTAS FAMASTIL 1
1292,LANCA DE FERRO FLOR DE LIZ *
647,LANCA DE FERRO SETA GRANDE 10 CM *
648,LANCA DE FERRO SETA PEQUENA 7 CM *
10676,LANCA GALV 1LADO P/ MURO ARTISTICA
146,LANCA GALV DUPLA MURO
10674,LANCA GALV DUPLA MURO ARTISTICA 7
4468,LAPIS P/ CARPINTEIRO *
3708,LENTE EXTERNA ORIGOTECH PK 10 *
3967,LENTE INTERNA 103 X 46 ORIGOTECH PK 10 *
290,LIXEIRA DE ACO COM PEDESTAL
1928,LONA AZUL 3 X 2 *
1927,LONA CARRETEIRO AZUL 2 X 2 *
1930,LONA DISMA AZUL 4 X 3 *
1929,LONA KALA  AZUL 3 X 3 *
3291,LONA PRETA 4 X 15 KG LONAX *
5967,MANCAL PARA CARRINHO
5951,"MANDRIL APERTO RAPIDO, 1 - 10 MM, ROSCA 1/2 POL"
827,MOLA COIMBRA OURO 454 SIMPLES *
826,MOLA PARA PORTA COIMBRA GRANDE OURO 453 *
841,OLHO MAGICO CROMADO *
2154,OLHO MAGICO LATONADO *
123133592,PEDRA P/ CENTELHADOR *
2276,PEDRA PARA AMOLAR JT - 911 *
5923,PINO ANCORA C/ ROSCA ACAO INDIRETA 1/4 X 27 X 20 *
5924,PINO ANCORA LISO C/ CLIPE 13MM ACAO INDIRETA 1/4 X 28 MM *
1134,PINO COM FURO 1/4 X 30 X 27 *
1135,PINO COM ROSCA 1/4 X 30 X 20 *
10904,PNEU TRATOR S/ CAMARA
1255,PUXADOR ALCA 86127 102MM CR ALIANCA *
1365,PUXADOR JANELA
5955,RODA C/ PNEU CAMARA *
5956,RODA C/ PNEU MACICO *
5961,RODA C/ ROLETE P. CAMARA *
5963,RODA C/ ROLETE P. MACICO *
3388,SOQUETE P/ PARAFUSO AUTO BROCANTE 3/8 *
1786,SUPORTE INVISIVEL PRATELHEIRA 13CM
3152,SUPORTE P/ ANTENA PREGAR 3/4 DUPLO *
3153,SUPORTE P/ ANTENA PREGAR 3/4 SIMPLES *
3154,SUPORTE P/ ANTENA PREGAR/CHUMBAR 3/4 *
1722,TARUGO 10MM CINZA C/ 50M
3326,TERMINAL DE COMPRESSAO 35 MM *
1656,VASSOURA METAL 22D ARAME REG C/ CABO
592,GONZO 1 -
1238,GONZO 1.1/2 -
593,GONZO 1/2
598,GONZO C/ ABA N.01 1/2
3961,MANCAL P/ TUBO QUADRADO 1'' *
3962,MANCAL P/ TUBO QUADRADO 1.1/4 *
2222,"MANCAL P/ TUBO REDONDO 1.1/4"" *"
2220,MANCAL P/ TUBO REDONDO 3/4 *
1583,PEAO P/ BASE DE PORTAO 1'' (001601)
1585,PEAO P/ BASE DE PORTAO 1.1/2'' * (001603)
1584,PEAO P/ BASE DE PORTAO 1.1/4'' * (001602)
1582,PEAO P/ BASE DE PORTAO 3/4'' * (001600)
2119,PONTA MONTADA A 03 *
1291,PONTA MONTADA A 05 *
1283,PONTA MONTADA A 11 *
2118,PONTA MONTADA A 12 *
1285,PONTA MONTADA A 15 *
1287,PONTA MONTADA A 25 *
2117,PONTA MONTADA A 26 *
1286,PONTA MONTADA A 33*
1289,PONTA MONTADA A 36 *
1290,PONTA MONTADA A 37 *
2120,PONTA MONTADA A 40 *
2122,PONTA MONTADA B 135 *
2123,PONTA MONTADA B 52 *
2121,PONTA MONTADA B 97 *
2128,PONTA MONTADA C 204 *
2126,PONTA MONTADA C 220 *
2129,PONTA MONTADA C 238 *
2124,PONTA MONTADA M 41 *
3278,"ABRACADEIRA DE NYLON 100 X 2,5 BRANCA *"
203,ABRACADEIRA S/FIM 1'' X 1.1/2 25 X 38 10 MM *
202,ABRACADEIRA S/FIM 1.1/2 X 2'' 38 X 51 14 MM *
206,ABRACADEIRA S/FIM 1/2 X 5/8 13 X 16 9MM *
1059,ABRACADEIRA S/FIM 2.1/2 X 3'' 64 X 76 MM *
1010,ABRACADEIRA S/FIM 3/4 X 1'' 19 X 25MM *
204,ABRACADEIRA S/FIM 3/8 X 1/2 10 X 13 9MM *
205,ABRACADEIRA S/FIM 5/8 X 3/4 16 X 19 9MM *
557,ABRACADEIRA TIPO COPO 1'' *
558,ABRACADEIRA TIPO COPO 1.1/2 *
559,ABRACADEIRA TIPO COPO 1/2 *
920,ABRACADEIRA TIPO U 1'' *
921,ABRACADEIRA TIPO U 1.1/2 *
923,ABRACADEIRA TIPO U 1/2 *
1436,ABRACADEIRA TIPO U 2.1/2 *
6048,BARRA ROSCADA ESTRUTURAL 5/8
123133407,BARRA ROSCADA GALVANIZADA 1'' *
123133408,BARRA ROSCADA GALVANIZADA 1/2'' *
123133410,BARRA ROSCADA GALVANIZADA 3/16'' *
123133413,BARRA ROSCADA GALVANIZADA 5/16'' *
123133862,BARRA ROSCADA GALVANIZADA 7/8'' *
123133419,BUCHA CX N 10 C/50 *
123133420,BUCHA CX N 12 C/25 *
123133421,BUCHA CX N 14 C/20 *
123133826,BUCHA CX N 4 C/400 *
123133824,BUCHA CX N 5 C/100 *
6125,BUCHA D10 PARAF CABECA CHATA FISCHER C/25
6122,BUCHA D6 PARAF CABECA CHATA FISHER C/100
6123,BUCHA D8 PARAF CABECA CHATA FISCHER C/50
123133425,BUCHA N 10 *
1522,BUCHA P/ REBOLO 1'' *
1523,BUCHA P/ REBOLO 1.1/4 *
1521,BUCHA P/ REBOLO 3/4 *
1451,"CHUMBADOR AF  14045 - 5/16X1/4 (4,5)*"
1447,CHUMBADOR AF 12070 - 5/8X1/2 (7.0)
1449,CHUMBADOR AF 12090 - 5/8X1/2 (9CM)
1448,CHUMBADOR AF 12120 - 5/8X1/2 (12CM)
1450,CHUMBADOR AF 14070 - 5/16X1/4 (7CM)
1444,CHUMBADOR AF 38065 - 1/2X3/8 (6.5)
1445,"CHUMBADOR AF 38080 - 1/2X3/8 (8,0)"
1446,CHUMBADOR AF 38110 - 1/2X3/8 (11CM)
