idsubproduto,descricaoproduto
11951,KIT CHURRASQUEIRA PREMIUM 1
4515,CABO DE ACO COM CAPA 6 X 19 1/4 (SWS ) *
3413,CABO DE ACO COM CAPA 6 X 7 ( 3/16 ) *
4877,CABO DE ACO COM CAPA 6 X 7 5/32 (SWS) A. FIBRA
6061,"CABO DE ACO COM CAPA AF 3,2-1/8 6X7"
466,CABO DE ACO COM CAPA PRETA 6 X 19 1/8 ( ACADEMIA ) *
304,"CABO DE ACO GALVANIZADO 6 X 19 (1/4 - 6,3 )"
6056,CABO DE ACO GALVANIZADO 6 X 19 (3/8 - 9.5) A. FIBRA
3286,CABO DE ACO GALVANIZADO 6 X 7 (1/4) SWS *
4436,CABO DE ACO GALVANIZADO 6 X 7 (1/8) *
4878,CABO DE ACO GALVANIZADO 6 X 7 (3/16 -4.8) SWS *
305,CABO DE ACO GALVANIZADO 6 X 7 (5/16 -8.0) *
4448,"CABO DE ACO GALVANIZADO 6 X 7 (5/32 - 4,0) *"
10090,"CABO DE ACO GALVANIZADO 6X7 3/32"" 2.38MM"
11145,CABO TRANSFERENCIA DE CARGAS FAMASTIL
1199,CLIPS P CABO DE ACO (1) 1/8 *
1200,CLIPS P CABO DE ACO (2) 3/16 *
1201,CLIPS P CABO DE ACO (3) 1/4 *
1202,CLIPS P CABO DE ACO (4) 5/16 *
1204,CLIPS P CABO DE ACO (5) 1/2 *
1203,CLIPS P CABO DE ACO (6) 3/8 *
352,CLIPS P CABO DE ACO (7) 5/8 *
201,CREMALHEIRA 150CM C SUPORTE
504,ESTICADOR CABO DE ACO (1) 1/4 *
506,ESTICADOR CABO DE ACO (2) 5/16 *
505,ESTICADOR CABO DE ACO (3) 3/8 *
503,ESTICADOR CABO DE ACO (4) 1/2 *
3662,MANILHA RETA (1) 1/4 P/ CABO DE ACO *
3663,MANILHA RETA (2) 5/16 P/ CABO DE ACO *
3664,MANILHA RETA (3) 3/8 P/ CABO DE ACO *
3665,MANILHA RETA (4) 1/2 P/ CABO DE ACO *
3666,MANILHA RETA (5) 3/4 P/ CABO DE ACO *
