idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
3418,JOELHO GALVANIZADO 45 GRAUS 1'' H MECH *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3508,JOELHO GALVANIZADO 45 GRAUS 1.1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3419,JOELHO GALVANIZADO 45 GRAUS 1/2 '' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3420,JOELHO GALVANIZADO 45 GRAUS 3/4'' H MECH *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
624,JOELHO GALVANIZADO 90 GRAUS 1'' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
625,JOELHO GALVANIZADO 90 GRAUS 1.1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
626,JOELHO GALVANIZADO 90 GRAUS 1.1/4 REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
627,JOELHO GALVANIZADO 90 GRAUS 1/2'' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
628,JOELHO GALVANIZADO 90 GRAUS 2'',F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
629,JOELHO GALVANIZADO 90 GRAUS 2.1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
630,JOELHO GALVANIZADO 90 GRAUS 3/4'' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
631,JOELHO GALVANIZADO REDUCAO 3/4 X 1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
10937,LUVA DE REDUCAO GALVANIZADA 1'' X 1/2,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
711,LUVA DE REDUCAO GALVANIZADA 1'' X 3/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
10935,LUVA DE REDUCAO GALVANIZADA 1.1/2 X 1.1/4,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
10933,LUVA DE REDUCAO GALVANIZADA 2 X 1.1/2,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
2176,LUVA DE REDUCAO GALVANIZADA 3/4 X 1/2 (MACHO / FEMEA) *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
712,LUVA DE REDUCAO GALVANIZADA 3/4 X 1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
704,LUVA GALVANIZADA 1'' REMADI *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
