idsubproduto,nome_produto,n_lacunas,lacunas
10528,CAIXA PARA FERRAMENTAS BAUZINHO B070,4,especificacao_tecnica;pagina_web;manual;fotos
10532,TRELICA ESTRUTURAL PROMO ( VERMELHA ),4,especificacao_tecnica;pagina_web;manual;fotos
10536,CARVÃO FURAD BOSCH 3655 100 003,4,especificacao_tecnica;pagina_web;manual;fotos
10538,CARVÃO LIXAD MAKITA 3655 100 004,4,especificacao_tecnica;pagina_web;manual;fotos
10540,CARVÃO SERRA MAR MAKITA 3655 100 005,4,especificacao_tecnica;pagina_web;manual;fotos
10542,CARVÃO ESMER BOSCH 3655 100 007,4,especificacao_tecnica;pagina_web;manual;fotos
10544,CARVÃO FURAD BOSCH 3655 100 008,4,especificacao_tecnica;pagina_web;manual;fotos
10548,CARVÃO FURAD MAKITA 3655 100 011,4,especificacao_tecnica;pagina_web;manual;fotos
10550,CARVÃO SERRA MARM BOSCH 3655 100 013,4,especificacao_tecnica;pagina_web;manual;fotos
10552,CARVÃO SERRA MARM BOSCH 3655 100 019 (1551.1),4,especificacao_tecnica;pagina_web;manual;fotos
10554,CARVÃO SERRA MARM BOSCH 3655 100 020 (1551.1/4),4,especificacao_tecnica;pagina_web;manual;fotos
10556,CARVÃO SERRA MARM BOSCH 3655 100 021 (1548),4,especificacao_tecnica;pagina_web;manual;fotos
10558,CARVÃO SERRA MARM MAK 655 100 023,4,especificacao_tecnica;pagina_web;manual;fotos
10564,BOTA SEG VELCRO NOBUCK CAFE Nº 43 MARLUVAS,4,especificacao_tecnica;pagina_web;manual;fotos
10572,MAQ SOLDA KENDE INVERS. MIG SEM GAS P/ ARAME DE 1KG,4,especificacao_tecnica;pagina_web;manual;fotos
10574,MAQ.SOLDA TWI-200 TERRA INVERS 220V,4,especificacao_tecnica;pagina_web;manual;fotos
10586,DOBRADICA PORTAO CHUMB. FOE25,4,especificacao_tecnica;pagina_web;manual;fotos
10590,DOBRADICA PORTAO FOE 20,4,especificacao_tecnica;pagina_web;manual;fotos
10592,MAQ SOLDA BOXER 160 INVERSORA  BV FLAMA161,4,especificacao_tecnica;pagina_web;manual;fotos
10594,MAQ SOLDA BOXER 200 INVERSORA  BV FLAMA201,4,especificacao_tecnica;pagina_web;manual;fotos
10596,MAQ SOLDA BOXER 140 INVERSORA  BV TOUCH150,4,especificacao_tecnica;pagina_web;manual;fotos
10608,KIT CHAVE SOQUETE 12 PÇ,4,especificacao_tecnica;pagina_web;manual;fotos
10610,KIT FERRAMENTAS FAMASTIL 1,4,especificacao_tecnica;pagina_web;manual;fotos
10612,KIT FERRAMENTAS FAMASTIL 3,4,especificacao_tecnica;pagina_web;manual;fotos
10622,KIT FERRAMENTAS FAMASTIL 2,4,especificacao_tecnica;pagina_web;manual;fotos
10656,BOBINA PRONTA 5 METROS * EMP2,4,especificacao_tecnica;pagina_web;manual;fotos
10674,LANCA GALV DUPLA MURO ARTISTICA 7,4,especificacao_tecnica;pagina_web;manual;fotos
10676,LANCA GALV 1LADO P/ MURO ARTISTICA,4,especificacao_tecnica;pagina_web;manual;fotos
10728,CAIXA PARA BROCAS DE FURADEIRA B061,4,especificacao_tecnica;pagina_web;manual;fotos
